_id,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,dataset
5fdc7bd9782aee73d65a8d18,"ESCAROLE,CKD,BLD,DRND,NO SALT ADDED",19,1,0,0,3,2,0,46,0,13,22,245,19,0,0,0,0,3,0,0,0,0,78,0,94,0,0,usda
5fdc7bd9782aee73d65a8d1e,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT",56,0,0,0,14,2,5,9,0,20,31,453,21,0,0,0,0,5,0,0,0,0,12,0,0,0,0,usda
5fdc7bd9782aee73d65a8d23,"JERUSALEM-ARTICHOKES,RAW",73,2,0,0,17,1,9,14,3,17,78,429,4,0,0,0,0,4,0,0,1,0,13,0,1,0,0,usda
5fdc7bd9782aee73d65a8d24,"JEW'S EAR,(PEPEAO),RAW",25,0,0,0,6,0,0,16,0,25,14,43,9,0,0,0,11,0,0,0,0,0,19,0,0,0,0,usda
5fdc7bd9782aee73d65a8d25,"PEPEAO,DRIED",298,4,0,0,81,0,0,113,6,146,116,708,70,7,5,1,45,1,0,0,3,0,160,0,0,0,0,usda
5fdc7bd9782aee73d65a8d26,"JUTE,POTHERB,RAW",34,4,0,0,5,0,0,208,4,64,83,559,8,0,0,0,0,37,0,0,1,0,123,0,278,0,0,usda
5fdc7bd9782aee73d65a8d27,"JUTE,POTHERB,CKD,BLD,DRND,WO/SALT",37,3,0,0,7,2,1,211,3,62,72,550,11,0,0,0,0,33,0,0,0,0,104,0,259,0,0,usda
5fdc7bd9782aee73d65a8d28,"KALE,RAW",49,4,0,0,8,3,2,150,1,47,92,491,38,0,1,0,0,120,0,0,1,0,141,0,500,1,0,usda
5fdc7bd9782aee73d65a8d29,"KALE,CKD,BLD,DRND,WO/SALT",28,1,0,0,5,2,1,72,0,18,28,228,23,0,0,0,0,41,0,0,0,0,13,0,681,0,0,usda
5fdc7bd9782aee73d65a8d2a,"KALE,FROZEN,UNPREPARED",28,2,0,0,4,2,0,136,0,18,29,333,15,0,0,0,0,39,0,0,0,0,17,0,313,0,0,usda
5fdc7bd9782aee73d65a8d2b,"KALE,FRZ,CKD,BLD,DRND,WO/SALT",30,2,0,0,5,2,1,138,0,18,28,321,15,0,0,0,0,25,0,0,0,0,14,0,735,0,0,usda
5fdc7bd9782aee73d65a8d2c,"KANPYO,(DRIED GOURD STRIPS)",258,8,0,0,65,9,0,280,5,125,188,1582,15,5,0,1,2,0,0,0,2,0,61,0,0,0,0,usda
5fdc7bd9782aee73d65a8d33,"LAMBSQUARTERS,RAW",43,4,0,0,7,4,0,309,1,34,72,452,43,0,0,0,0,80,0,0,1,0,30,0,580,0,0,usda
5fdc7bd9782aee73d65a8d34,"LAMBSQUARTERS,CKD,BLD,DRND,WO/SALT",32,3,0,0,5,2,0,258,0,23,45,288,29,0,0,0,0,37,0,0,0,0,14,0,391,1,0,usda
5fdc7bd9782aee73d65a8d36,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,WO/SALT",31,0,0,0,7,1,2,30,1,14,17,87,10,0,0,0,0,4,0,0,0,0,24,0,41,0,0,usda
5fdc7bd9782aee73d65a8d54,"OKRA,CKD,BLD,DRND,WO/SALT",22,1,0,0,4,2,2,77,0,36,32,135,6,0,0,0,0,16,0,0,0,0,46,0,14,0,0,usda
5fdc7bd9782aee73d65a8d55,"OKRA,FROZEN,UNPREPARED",30,1,0,0,6,2,2,81,0,43,42,211,3,0,0,0,0,12,0,0,0,0,148,0,18,0,0,usda
5fdc7bd9782aee73d65a8d56,"OKRA,FRZ,CKD,BLD,DRND,WO/SALT",29,1,0,0,6,2,2,74,0,40,37,184,3,0,0,0,0,9,0,0,0,0,100,0,15,0,0,usda
5fdc7bd9782aee73d65a8d67,"PARSNIPS,RAW",75,1,0,0,17,4,4,36,0,29,71,375,10,0,0,0,1,17,0,0,0,0,67,0,0,1,0,usda
5fdc7bd9782aee73d65a8d68,"PARSNIPS,CKD,BLD,DRND,WO/SALT",71,1,0,0,17,3,4,37,0,29,69,367,10,0,0,0,1,13,0,0,0,0,58,0,0,1,0,usda
5fdc7bd9782aee73d65a8d85,"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",111,5,0,1,19,4,2,41,1,40,118,456,5,0,0,0,1,28,0,0,2,0,100,0,2,0,0,usda
5fdc7bd9782aee73d65a8d86,POI,112,0,0,0,27,0,0,16,0,24,39,183,12,0,0,0,0,4,0,0,1,0,21,0,3,2,0,usda
5fdc7bd9782aee73d65a8d87,"POKEBERRY SHOOTS,(POKE),RAW",23,2,0,0,3,1,0,53,1,18,44,242,23,0,0,0,0,136,0,0,1,0,16,0,435,0,0,usda
5fdc7bd9782aee73d65a8d88,"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,WO/SALT",20,2,0,0,3,1,1,53,1,14,33,184,18,0,0,0,0,82,0,0,1,0,9,0,435,0,0,usda
5fdc7bd9782aee73d65a8dca,"PURSLANE,RAW",20,2,0,0,3,0,0,65,1,68,44,494,45,0,0,0,0,21,0,0,0,0,12,0,0,0,0,usda
5fdc7bd9782aee73d65a8dcb,"PURSLANE,CKD,BLD,DRND,WO/SALT",18,1,0,0,3,0,0,78,0,67,37,488,44,0,0,0,0,10,0,0,0,0,9,0,93,0,0,usda
5fdc7bd9782aee73d65a8dcc,"RADISHES,RAW",16,0,0,0,3,1,1,25,0,10,20,233,39,0,0,0,0,14,0,0,0,0,25,0,0,0,0,usda
5fdc7bd9782aee73d65a8dcd,"RADISHES,ORIENTAL,RAW",18,0,0,0,4,1,2,27,0,16,23,227,21,0,0,0,0,22,0,0,0,0,28,0,0,0,0,usda
5fdc7bd9782aee73d65a8dce,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",17,0,0,0,3,1,1,17,0,9,24,285,13,0,0,0,0,15,0,0,0,0,17,0,0,0,0,usda
5fdc7bd9782aee73d65a8dcf,"RADISHES,ORIENTAL,DRIED",271,7,0,0,63,23,37,629,6,170,204,3494,278,2,1,0,0,0,0,0,3,0,295,0,0,0,0,usda
5fdc7bd9782aee73d65a8dd0,"RUTABAGAS,RAW",37,1,0,0,8,2,4,43,0,20,53,305,12,0,0,0,0,25,0,0,0,0,21,0,0,0,0,usda
5fdc7bd9782aee73d65a8dd1,"RUTABAGAS,CKD,BLD,DRND,WO/SALT",30,0,0,0,6,1,3,18,0,10,41,216,5,0,0,0,0,18,0,0,0,0,15,0,0,0,0,usda
5fdc7bd9782aee73d65a8dd3,"SALSIFY,CKD,BLD,DRND,WO/SALT",68,2,0,0,15,3,2,47,0,18,56,283,16,0,0,0,0,4,0,0,0,0,15,0,0,0,0,usda
5fdc7bd9782aee73d65a8dd4,"SAUERKRAUT,CND,SOL&LIQUIDS",19,0,0,0,4,2,1,30,1,13,20,170,661,0,0,0,0,14,0,0,0,0,24,0,1,0,0,usda
5fdc7bd9782aee73d65a8dd9,"SESBANIA FLOWER,RAW",27,1,0,0,6,0,0,19,0,12,30,184,15,0,0,0,0,73,0,0,0,0,102,0,0,0,0,usda
5fdc7bd9782aee73d65a8dda,"SESBANIA FLOWER,CKD,STMD,WO/SALT",22,1,0,0,5,0,0,22,0,12,21,107,11,0,0,0,0,37,0,0,0,0,57,0,0,0,0,usda
5fdc7bd9782aee73d65a8ddc,"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",141,12,0,6,11,4,0,145,2,60,158,539,14,0,0,0,1,17,0,0,1,0,111,0,8,0,0,usda
5fdc7bd9782aee73d65a8de7,"SQUASH,SMMR,CROOKNECK & STRAIGHTNECK,CKD,BLD,DRND,WO/ SALT",23,1,0,0,3,1,2,22,0,16,29,177,1,0,0,0,0,11,0,0,0,0,23,0,56,0,0,usda
5fdc7bd9782aee73d65a8de8,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT",13,0,0,0,2,1,1,12,0,13,21,96,5,0,0,0,0,2,0,0,0,0,10,0,5,0,0,usda
